*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ay-pong-crystal_flipflop
*Date=18:35:02
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
53;;THT;12.1651;-11.7426;180;Bottom;R1
54;;THT;40.6741;-21.0664;0;Bottom;J4
55;;;35.3908;-69.0764;90;Bottom;TXT8
56;;;59.0408;-17.3185;0;Bottom;Via30
57;;;76.6832;-24.431;0;Bottom;TXT2
58;;THT;48.6743;-21.0664;0;Bottom;J6
59;;;75.4481;-58.0423;0;Bottom;TXT8
60;100nF;100 mil [THT, electrolytic];62.2692;-8.06381;0;Bottom;C5
61;220;THT;72.1865;-11.5687;0;Bottom;R12
62;100nF;100 mil [THT, electrolytic];23.0223;-56.7943;0;Bottom;C8
63;;;50.6872;-58.1137;0;Bottom;TXT5
64;;;38.7927;-11.4609;0;Bottom;TXT8
65;;;10.233;-70.2938;90;Bottom;Power plug1
66;;dipswitch-02;12.5662;-35.2537;-90;Bottom;SW2
67;;;28.0315;-7.86393;0;Bottom;TXT8
68;100nF;100 mil [THT, electrolytic];74.5688;-63.8622;0;Bottom;C2
69;;;51.5056;-71.4894;0;Bottom;U3
70;;;23.3196;-73.0614;0;Bottom;TXT3
71;;5 mm [THT];12.375;-50.066;0;Bottom;LED1
72;100;THT;31.6653;-69.5766;90;Bottom;R16
73;;DIP (Dual Inline) [THT];78.523;-39.2401;-90;Bottom;IC2
74;;THT;36.6742;-21.0664;0;Bottom;J3
75;;[THT];23.1944;-66.7689;0;Bottom;S1
76;;;89.8328;-54.5718;0;Bottom;TXT8
77;;;51.2917;-69.8388;0;Bottom;TXT6
78;;THT;87.7459;-11.8453;0;Bottom;R2
79;10k;THT;72.1543;-7.97407;0;Bottom;R13
80;;;19.3603;-48.8428;0;Bottom;Via28
81;10k;THT;27.9953;-8.01188;0;Bottom;R11
82;;;51.4987;-72.2366;0;Bottom;TXT9
83;;;3.24405;-70.5781;0;Bottom;Via6
84;;;78.5101;-69.4078;0;Bottom;TXT8
85;;THT;45.8758;-50.4592;-90;Bottom;J9
86;;;38.655;-75.127;0;Bottom;Via25
87;;;3.2384;-59.9236;0;Bottom;Via7
88;;;74.563;-66.9757;0;Bottom;TXT8
89;68;THT;78.232;-69.3884;0;Bottom;R17
90;;DIP (Dual Inline) [THT];44.9467;-39.348;-90;Bottom;IC1
91;;;92.4812;-62.9947;0;Bottom;TXT8
92;;;23.2691;-53.2312;0;Bottom;TXT8
