*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ay-pong-big-crystal_flipflop_3
*Date=17:48:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
58;;;51.2917;-71.5898;0;Bottom;TXT6
59;;;28.3536;-11.1879;0;Bottom;TXT8
60;;;51.5056;-71.4894;0;Bottom;U3
61;;;2.12588;-34.393;0;Bottom;Hole6
62;;;90.0852;-54.5718;0;Bottom;TXT8
63;;;38.7927;-11.4609;0;Bottom;TXT8
64;;;29.3191;-21.289;0;Bottom;TXT8
65;;THT;40.6741;-21.0664;0;Bottom;J4
66;;THT;64.0269;-55.8418;0;Bottom;J10
67;220;THT;72.1543;-7.97407;0;Bottom;R13
68;1µF;100 mil [THT, electrolytic];62.2692;-8.06381;0;Bottom;C5
69;;dipswitch-02;12.6546;-41.8215;-90;Bottom;SW1
70;1µF;100 mil [THT, electrolytic];23.0223;-56.7943;0;Bottom;C8
71;;THT;12.1651;-11.7426;180;Bottom;R1
72;;;19.3533;-51.2204;0;Bottom;Via29
73;;300 mil [THT];35.5225;-69.2944;90;Bottom;D2
74;220;THT;75.3014;-55.0026;0;Bottom;R3
75;;;98.0817;-1.93715;0;Bottom;Hole3
76;;;72.5073;-11.4623;0;Bottom;TXT8
77;220;THT;27.9953;-8.01188;0;Bottom;R11
78;;THT;88.7318;-75.7852;-90;Bottom;J1
79;;[THT];23.1944;-66.7689;0;Bottom;S1
80;;;53.8902;-17.3185;0;Bottom;Via31
81;1µF;100 mil [THT, electrolytic];91.9796;-59.7402;0;Bottom;C1
82;;THT;36.6742;-21.0664;0;Bottom;J3
83;1µF;100 mil [THT, electrolytic];74.5688;-63.8622;0;Bottom;C2
84;;;38.655;-75.127;0;Bottom;Via25
85;;;28.0315;-7.86393;0;Bottom;TXT8
86;;;1.93792;-78.0433;0;Bottom;Hole1
87;;;35.6022;-57.8126;0;Bottom;Via24
88;;THT;48.6743;-21.0664;0;Bottom;J6
89;;;59.0408;-17.3185;0;Bottom;Via30
90;;;75.5745;-51.707;0;Bottom;TXT8
91;;;78.6553;-39.1907;0;Bottom;TXT7
92;;;62.1286;-11.6381;0;Bottom;TXT8
